eval/mean_reward,rollout/ep_len_mean,_step,curriculum/ent_coef,curriculum/pct_within_6m,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/std,curriculum/phase,train/clip_range,_timestamp,global_step,curriculum/success_rate,_runtime,train/entropy_loss,train/approx_kl,time/fps,train/learning_rate,curriculum/wall_hit_rate,train/value_loss,curriculum/pct_within_2m,eval/mean_ep_length,curriculum/median_landing_dist,curriculum/pct_within_1m,curriculum/mean_landing_dist,train/clip_fraction,train/loss
,,0,,,,,,,,,1776368069.4018319,24990.0,,12.693417875,,,,,,,,1.0,,,,,
,,21,,,,,,,,,1776368076.519169,49980.0,,17.695126125,,,,0.0003,,,,,,,,,
,1.0,35,,,,,,,,,1776368078.249512,57344.0,,22.696907209,,,,,,,,,,,,,
,,48,,,,,,0.9881947,,,1776368083.011096,74970.0,,27.700724209,,,,,,,,,,,,,
,,76,,,,,,,,,1776368091.871943,114688.0,,32.702415,,,,,,,,,7.1015925,,,,
,,91,,,,,,,,,1776368094.659364,124950.0,,37.704081417,-5.475767,,,,,,,,,,,,
,,142,,,,,,,,,1776368105.549344,174930.0,,47.706302459,,,,,,,,,,,,,-0.18905094
,,143,,,,,-0.048047386,,,,1776368105.549348,174930.0,,47.706308084,,,,,,,,,,,,,
,,145,,,,,,,,,1776368105.5494862,174930.0,,47.706318959,,,,,,0.28830296,,,,,,,
,,150,,,,,,,,,1776368109.956029,200704.0,,52.708026292,,,,,,,,,6.6900377,,,,
,,170,,,,,,0.8494477,,,1776368114.8902678,224910.0,,57.709425459,,,,,,,,,,,,,
,,273,,44.0,,,,,,,1776368136.5378308,344064.0,,77.715520625,,,,,,,,,,,,,
,,294,,,,,,,,,1776368141.486912,372736.0,,82.717245084,,,,,,,,,5.8448625,,,,
,,304,,,,,,,,,1776368142.7382138,374850.0,,82.718422709,,,,,,,,1.0,,,,,
,,313,,,,,-0.039178997,,,,1776368142.738265,374850.0,,82.718489459,,,,,,,,,,,,,
-13.465037,,331,,,,,,,,,1776368150.40133,424830.0,,92.721254709,,,,,,,,,,,,,
,,336,,,,0.34046417,,,,,1776368150.4013581,424830.0,,92.721281084,,,,,,,,,,,,,
,,360,,,,0.32791132,,,,,1776368154.5634282,449820.0,,97.722950959,,,,,,,,,,,,,
,,388,,,,,,0.70106864,,,1776368158.755032,474810.0,,102.724513209,,,,,,,,,,,,,
,,396,,,,,,,0.0,,1776368160.458241,487424.0,,102.724548834,,,,,,,,,,,,,
,,434,,,,,,,,,1776368167.342397,524790.0,,107.726526584,,,,,,,,,,,,,-0.07263943
,,446,,,,,,,,,1776368170.040684,544768.0,,112.729023292,,,,,0.0,,,,,,,,
,,459,,,,,-0.061103094,,,,1776368171.688863,549780.0,,112.729177959,,,,,,,,,,,,,
,,533,,,,,-0.07845068,,,,1776368189.369518,649740.0,,132.735248917,,,,,,,,,,,,,
,,588,,,,,,,,,1776368201.827625,716800.0,,142.738672417,,,,,,,16.5,,,,,,
,,596,,,,,,,,,1776368204.02876,724710.0,,147.740083959,,,,,,,,1.0,,,,,
,,613,,90.5,,,,,,,1776368207.320951,745472.0,,147.740210875,,,,,,,,,,,,,
,,634,,,,,,,,,1776368212.792168,774144.0,,152.7416985,,,,,,,,,2.9589736,,,,
-12.654585,,645,,,,,,,,,1776368213.827498,774690.0,,157.743286292,,,,,,,,,,,,,
,,648,,,,,,,,0.2,1776368213.827513,774690.0,,157.743302709,,,,,,,,,,,,,
,,685,,,,,,,,,1776368223.801867,831488.0,,167.746608042,,,,,,,,,,9.5,,,
